Frame Number,Moods
105,"[['calm', 0.5394457578659058], ['sad', 0.3719143867492676], ['happy', 0.09496164321899414], ['angry', 0.08481230586767197], ['serious', 0.07866016030311584]]"
106,"[['calm', 0.5379824042320251], ['sad', 0.36769920587539673], ['happy', 0.09498167037963867], ['angry', 0.09288714826107025], ['serious', 0.08272413164377213]]"
107,"[['calm', 0.5288527011871338], ['sad', 0.35849612951278687], ['angry', 0.09653518348932266], ['happy', 0.09359350800514221], ['serious', 0.0854799821972847]]"
108,"[['calm', 0.5389779806137085], ['sad', 0.34885454177856445], ['angry', 0.10797734558582306], ['serious', 0.0939624086022377], ['happy', 0.09375178813934326]]"
109,"[['calm', 0.5282637476921082], ['sad', 0.3411730229854584], ['angry', 0.11641021817922592], ['serious', 0.09947574138641357], ['happy', 0.0971655398607254]]"
110,"[['calm', 0.5119343400001526], ['sad', 0.3338642120361328], ['angry', 0.11031392216682434], ['happy', 0.09581364691257477], ['serious', 0.09407243877649307]]"
111,"[['calm', 0.5161436200141907], ['sad', 0.32425132393836975], ['angry', 0.11854062229394913], ['serious', 0.09617725759744644], ['happy', 0.09428834170103073]]"
112,"[['calm', 0.5131928324699402], ['sad', 0.3290487825870514], ['angry', 0.12264029681682587], ['serious', 0.09976521134376526], ['happy', 0.09265580028295517]]"
113,"[['calm', 0.5127950310707092], ['sad', 0.3313257396221161], ['angry', 0.12215875089168549], ['serious', 0.10214700549840927], ['happy', 0.0925232321023941]]"
114,"[['calm', 0.5109109878540039], ['sad', 0.332775354385376], ['angry', 0.11426820605993271], ['serious', 0.09930616617202759], ['happy', 0.08555647730827332]]"
115,"[['calm', 0.517448365688324], ['sad', 0.32959380745887756], ['angry', 0.12127136439085007], ['serious', 0.10612767189741135], ['happy', 0.08668337017297745]]"
116,"[['calm', 0.5159974098205566], ['sad', 0.3334886133670807], ['angry', 0.11884541809558868], ['serious', 0.10155167430639267], ['happy', 0.0806460976600647]]"
117,"[['calm', 0.4990815222263336], ['sad', 0.3454304337501526], ['angry', 0.1205705776810646], ['serious', 0.0993843749165535], ['happy', 0.07849080115556717]]"
118,"[['calm', 0.5172338485717773], ['sad', 0.35487130284309387], ['angry', 0.11817760020494461], ['serious', 0.1004793718457222], ['happy', 0.0787956491112709]]"
119,"[['calm', 0.5304883122444153], ['sad', 0.3559562861919403], ['angry', 0.11830825358629227], ['serious', 0.10453381389379501], ['happy', 0.07941311597824097]]"
120,"[['calm', 0.5394067764282227], ['sad', 0.364363431930542], ['angry', 0.11338621377944946], ['serious', 0.10807667672634125], ['happy', 0.0786849781870842]]"
121,"[['calm', 0.5461780428886414], ['sad', 0.3705679178237915], ['serious', 0.10689547657966614], ['angry', 0.10373477637767792], ['happy', 0.07439525425434113]]"
122,"[['calm', 0.5557220578193665], ['sad', 0.36192309856414795], ['serious', 0.108534075319767], ['angry', 0.0987476110458374], ['happy', 0.07325267791748047]]"
123,"[['calm', 0.5624244809150696], ['sad', 0.3583223223686218], ['serious', 0.105552077293396], ['angry', 0.09189619868993759], ['happy', 0.07366069406270981]]"
124,"[['calm', 0.563514769077301], ['sad', 0.3612915277481079], ['serious', 0.09951189160346985], ['angry', 0.08454634994268417], ['happy', 0.07153228670358658]]"
125,"[['calm', 0.5592402815818787], ['sad', 0.363195538520813], ['serious', 0.09775631874799728], ['angry', 0.08115512132644653], ['happy', 0.06938068568706512]]"
126,"[['calm', 0.5681152939796448], ['sad', 0.3627742826938629], ['serious', 0.09985342621803284], ['angry', 0.0831238329410553], ['happy', 0.07012365758419037]]"
127,"[['calm', 0.569561779499054], ['sad', 0.3563571870326996], ['serious', 0.10133200883865356], ['angry', 0.08775895833969116], ['happy', 0.06917864084243774]]"
128,"[['calm', 0.5751518607139587], ['sad', 0.3518584370613098], ['serious', 0.09896131604909897], ['angry', 0.0851406380534172], ['happy', 0.06704115122556686]]"
129,"[['calm', 0.5715268850326538], ['sad', 0.3474518954753876], ['serious', 0.09903641045093536], ['angry', 0.08716655522584915], ['happy', 0.06753667443990707]]"
130,"[['calm', 0.5644767880439758], ['sad', 0.3540198504924774], ['serious', 0.10408884286880493], ['angry', 0.09293807297945023], ['happy', 0.06728155165910721]]"
131,"[['calm', 0.5575361251831055], ['sad', 0.3542007803916931], ['serious', 0.10285655409097672], ['angry', 0.0967421606183052], ['happy', 0.06762123852968216]]"
132,"[['calm', 0.5543742775917053], ['sad', 0.35747987031936646], ['serious', 0.1047019213438034], ['angry', 0.10186048597097397], ['happy', 0.06583088636398315]]"
133,"[['calm', 0.5520179271697998], ['sad', 0.355650395154953], ['serious', 0.1065308153629303], ['angry', 0.10621658712625504], ['happy', 0.06791824847459793]]"
134,"[['calm', 0.5509482026100159], ['sad', 0.35437458753585815], ['serious', 0.11360794305801392], ['angry', 0.10646355152130127], ['happy', 0.0670599564909935]]"
